Film year,Ceremony year,Ceremony number,Winning category,Winner name,Film title,Film Duration,Film score
1945,1946,18,Art Direction (color),"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Sam Comer",Frenchman's Creek,0,63.0
1945,1946,18,Cinematography (black-and-white),Harry Stradling,The Picture of Dorian Gray,110,75.0
1945,1946,18,Cinematography (color),Leon Shamroy,Leave Her to Heaven,110,76.0
1945,1946,18,Directing,Billy Wilder,The Lost Weekend,101,79.0
1945,1946,18,Documentary (feature),The Governments of Great Britain and the United States of America,The True Glory,87,70.0
1945,1946,18,Documentary (short Subject),"Gordon Hollingshead, Producer",Hitler Lives?,17,53.0
1945,1946,18,Film Editing,Robert J. Kern,National Velvet,123,73.0
1945,1946,18,Music (music Score Of A Dramatic Or Comedy Picture),Miklos Rozsa,Spellbound,111,75.0
1945,1946,18,Music (scoring Of A Musical Picture),Georgie Stoll,Anchors Aweigh,140,70.0
1945,1946,18,Music (song),Music by Richard Rodgers; Lyrics by Oscar Hammerstein II,State Fair,100,70.0
1945,1946,18,Best Motion Picture,Paramount,The Lost Weekend,101,79.0
1945,1946,18,Short Subject (cartoon),"Frederick Quimby, Producer",Quiet Please!,7,77.0
1945,1946,18,Short Subject (one-reel),"Herbert Moulton, Producer;  Jerry Bresler, Executive Producer",Stairway to Light,10,62.0
1945,1946,18,Short Subject (two-reel),"Gordon Hollingshead, Producer",Star in the Night,22,77.0
1945,1946,18,Sound Recording,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",The Bells of St. Mary's,126,72.0
1945,1946,18,Special Effects,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,Wonder Man,98,68.0
1945,1946,18,Writing (original Motion Picture Story),Charles G. Booth,The House on 92nd Street,88,66.0
1945,1946,18,Writing (screenplay),"Charles Brackett, Billy Wilder",The Lost Weekend,101,79.0
1946,1947,19,Actor,Fredric March,The Best Years of Our Lives,170,81.0
1946,1947,19,Actor In A Supporting Role,Harold Russell,The Best Years of Our Lives,170,81.0
1946,1947,19,Actress,Olivia de Havilland,To Each His Own,122,76.0
1946,1947,19,Actress In A Supporting Role,Anne Baxter,The Razor's Edge,145,73.0
1946,1947,19,Art Direction (black-and-white),"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",Anna and the King of Siam,128,70.0
1946,1947,19,Art Direction (color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis",The Yearling,128,72.0
1946,1947,19,Cinematography (black-and-white),Arthur Miller,Anna and the King of Siam,128,70.0
1946,1947,19,Cinematography (color),"Charles Rosher, Leonard Smith, Arthur Arling",The Yearling,128,72.0
1946,1947,19,Directing,William Wyler,The Best Years of Our Lives,170,81.0
1946,1947,19,Film Editing,Daniel Mandell,The Best Years of Our Lives,170,81.0
1946,1947,19,Music (music Score Of A Dramatic Or Comedy Picture),Hugo Friedhofer,The Best Years of Our Lives,170,81.0
1946,1947,19,Music (scoring Of A Musical Picture),Morris Stoloff,The Jolson Story,128,72.0
1946,1947,19,Music (song),Music by Harry Warren; Lyrics by Johnny Mercer,The Harvey Girls,102,70.0
1946,1947,19,Best Motion Picture,Samuel Goldwyn Productions,The Best Years of Our Lives,170,81.0
1946,1947,19,Short Subject (cartoon),"Frederick Quimby, Producer",The Cat Concerto,8,82.0
1946,1947,19,Short Subject (one-reel),"Gordon Hollingshead, Producer",Facing Your Danger,10,64.0
1946,1947,19,Short Subject (two-reel),"Gordon Hollingshead, Producer",A Boy and His Dog,91,64.0
1946,1947,19,Sound Recording,"Columbia Studio Sound Department, John Livadary, Sound Director",The Jolson Story,128,72.0
1946,1947,19,Writing (original Motion Picture Story),Clemence Dane,Vacation from Marriage,102,71.0
1946,1947,19,Writing (original Screenplay),"Muriel Box, Sydney Box",The Seventh Veil,94,67.0
1946,1947,19,Writing (screenplay),Robert E. Sherwood,The Best Years of Our Lives,170,81.0
