year_film,year_ceremony,ceremony,category,film
1970,1971,43,SHORT SUBJECT (Cartoon),Is It Always Right to Be Right?
1971,1972,44,DOCUMENTARY (Feature),The Hellstrom Chronicle
1971,1972,44,DOCUMENTARY (Short Subject),Sentinels of Silence
1971,1972,44,FOREIGN LANGUAGE FILM,The Garden of the Finzi Continis
1971,1972,44,BEST PICTURE,The French Connection
1972,1973,45,DOCUMENTARY (Feature),Marjoe
1972,1973,45,DOCUMENTARY (Short Subject),This Tiny World
1972,1973,45,FOREIGN LANGUAGE FILM,The Discreet Charm of the Bourgeoisie
1972,1973,45,BEST PICTURE,The Godfather
1973,1974,46,DOCUMENTARY (Feature),The Great American Cowboy
1973,1974,46,DOCUMENTARY (Short Subject),Princeton: A Search for Answers
1973,1974,46,FOREIGN LANGUAGE FILM,Day for Night
1973,1974,46,MUSIC (Song),The Way We Were
1973,1974,46,BEST PICTURE,The Sting
1974,1975,47,DOCUMENTARY (Feature),Hearts and Minds
1974,1975,47,DOCUMENTARY (Short Subject),Don't
1974,1975,47,FOREIGN LANGUAGE FILM,Amarcord
1974,1975,47,MUSIC (Song),The Towering Inferno
1974,1975,47,BEST PICTURE,The Godfather Part II
1974,1975,47,SHORT FILM (Animated),Closed Mondays
1974,1975,47,SHORT FILM (Live Action),One-Eyed Men Are Kings
1975,1976,48,DOCUMENTARY (Feature),The Man Who Skied down Everest
1975,1976,48,DOCUMENTARY (Short Subject),The End of the Game
1975,1976,48,FOREIGN LANGUAGE FILM,Dersu Uzala
1975,1976,48,BEST PICTURE,One Flew over the Cuckoo's Nest
1975,1976,48,SHORT FILM (Animated),Great
1975,1976,48,SHORT FILM (Live Action),Angel and Big Joe
1976,1977,49,DOCUMENTARY (Feature),"Harlan County, U.S.A."
1976,1977,49,DOCUMENTARY (Short Subject),Number Our Days
1976,1977,49,FOREIGN LANGUAGE FILM,Black and White in Color
1976,1977,49,BEST PICTURE,Rocky
1976,1977,49,SHORT FILM (Animated),Leisure
1976,1977,49,SHORT FILM (Live Action),In the Region of Ice
1977,1978,50,DOCUMENTARY (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?
1977,1978,50,DOCUMENTARY (Short Subject),Gravity Is My Enemy
1977,1978,50,FOREIGN LANGUAGE FILM,Madame Rosa
1977,1978,50,BEST PICTURE,Annie Hall
1977,1978,50,SHORT FILM (Animated),The Sand Castle
1977,1978,50,SHORT FILM (Live Action),I'll Find a Way
1978,1979,51,DOCUMENTARY (Feature),Scared Straight!
1978,1979,51,DOCUMENTARY (Short Subject),The Flight of the Gossamer Condor
1978,1979,51,FOREIGN LANGUAGE FILM,Get Out Your Handkerchiefs
1978,1979,51,BEST PICTURE,The Deer Hunter
1978,1979,51,SHORT FILM (Animated),Special Delivery
1978,1979,51,SHORT FILM (Live Action),Teenage Father
1979,1980,52,DOCUMENTARY (Feature),Best Boy
1979,1980,52,DOCUMENTARY (Short Subject),Paul Robeson: Tribute to an Artist
1979,1980,52,FOREIGN LANGUAGE FILM,The Tin Drum
1979,1980,52,BEST PICTURE,Kramer vs. Kramer
1979,1980,52,SHORT FILM (Animated),Every Child
1979,1980,52,SHORT FILM (Live Action),Board and Care
1980,1981,53,DOCUMENTARY (Feature),From Mao to Mozart: Isaac Stern in China
1980,1981,53,DOCUMENTARY (Short Subject),Karl Hess: Toward Liberty
1980,1981,53,FOREIGN LANGUAGE FILM,Moscow Does Not Believe in Tears
1980,1981,53,BEST PICTURE,Ordinary People
1980,1981,53,SHORT FILM (Animated),The Fly
1980,1981,53,SHORT FILM (Dramatic Live Action),The Dollar Bottom
1981,1982,54,DOCUMENTARY (Feature),Genocide
1981,1982,54,DOCUMENTARY (Short Subject),Close Harmony
1981,1982,54,FOREIGN LANGUAGE FILM,Mephisto
1981,1982,54,BEST PICTURE,Chariots of Fire
1981,1982,54,SHORT FILM (Animated),Crac
1981,1982,54,SHORT FILM (Live Action),Violet
1982,1983,55,DOCUMENTARY (Feature),Just Another Missing Kid
1982,1983,55,DOCUMENTARY (Short Subject),If You Love This Planet
1982,1983,55,FOREIGN LANGUAGE FILM,Volver a Empezar ('To Begin Again')
1982,1983,55,BEST PICTURE,Gandhi
1982,1983,55,SHORT FILM (Animated),Tango
1982,1983,55,SHORT FILM (Live Action),A Shocking Accident
1983,1984,56,DOCUMENTARY (Feature),He Makes Me Feel Like Dancin'
1983,1984,56,DOCUMENTARY (Short Subject),Flamenco at 5:15
1983,1984,56,FOREIGN LANGUAGE FILM,Fanny & Alexander
1983,1984,56,BEST PICTURE,Terms of Endearment
1983,1984,56,SHORT FILM (Animated),Sundae in New York
1983,1984,56,SHORT FILM (Live Action),Boys and Girls
1984,1985,57,DOCUMENTARY (Feature),The Times of Harvey Milk
1984,1985,57,DOCUMENTARY (Short Subject),The Stone Carvers
1984,1985,57,FOREIGN LANGUAGE FILM,Dangerous Moves
1984,1985,57,BEST PICTURE,Amadeus
1984,1985,57,SHORT FILM (Animated),Charade
1984,1985,57,SHORT FILM (Live Action),Up
1985,1986,58,DOCUMENTARY (Feature),Broken Rainbow
